"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"16934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16936","kx72190",11753,6426249,13,"S","N","O","M","I","1","Y",66,2
"16937","xy33258",60089,15245130,NA,"S","Y","O","M","H","2","M",38,2
"16938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16939","wy22536",8691,12554630,NA,"","","","","","","",NA,NA
"16940","yx71195",6488,6318730,NA,"S","Y","O","M","E","1","F",46,3
"16941","jx96259",6811,10618562,8,"S","Y","O","S","C","1","F",64,1
"16942","xy45563",11580,19116896,NA,"","","","","","","",NA,NA
"16943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16944","qy33300",11787,15101788,11,"S","Y","","S","G","2","F",32,NA
"16945","ay41446",11367,18198748,12,"S","N","O","M","H","2","Y",40,1
"16946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16947","jy40080",22046,17919437,NA,"S","","","B","","3","M",NA,NA
"16948","cy43137",19103,18644636,13,"M","","O","S","H","1","M",36,3
"16949","py30425",10464,14598056,8,"S","Y","O","S","E","1","",38,3
"16950","wy34042",11946,15392837,NA,"","","","","","","Y",NA,NA
"16951","dy49493",53406,19796248,12,"S","N","O","","H","2","Y",26,3
"16952","bx64683",10512,5569762,11,"S","Y","O","M","H","1","F",44,2
"16953","sx95559",60654,10563330,NA,"M","","","","I","1","M",NA,NA
"16954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16955","by17127",21075,11497703,7,"S","Y","O","S","F","1","F",40,1
"16956","dy23451",6820,12684788,NA,"","","","","","","F",NA,NA
"16957","kx13595",20879,1786703,NA,"","","","","","","",NA,NA
